Group,H0,H1,H2,Page,Raw XML Line (stripped of <I> and <B>)
"",W3C,,,0,"""<H0>W3C, <XREF><I>see</I> World Wide Web Consortium (W3C)</XREF></H0>"""
"",EC2,,,0,"""<H0>EC2, <XREF><I>see</I> Amazon Elastic Compute Cloud (EC2)</XREF></H0>"""
"",EDSACTuring Award,,,2,"""<H0>EDSAC, Turing Award, <PAGE><I>2</I></PAGE></H0>"""
"",WilkesMauriceSir,,,2,"""<H0>Wilkes, Maurice, Sir, <PAGE><I>2</I></PAGE></H0>"""
"",Turing Award,WilkesMauriceSir,,2,"""<H1>Wilkes, Maurice, Sir, <PAGE><I>2</I></PAGE></H1>"""
"",Facebook,household name,,4,"""<H1>household name, <PAGE>4</PAGE></H1>"""
"",Virtual Case File,,,4,"""<H0>Virtual Case File, <PAGE>4</PAGE></H0>"""
"",Amazon,household name,,4,"""<H1>household name, <PAGE>4</PAGE></H1>"""
"",Massive Open Online Course (MOOC),book materials,,4,"""<H1>book materials, <PAGE>4, <B>xviii</B></PAGE></H1>"""
"",Therac-25,,,4,"""<H0>Therac-25, <PAGE>4</PAGE></H0>"""
"",HopperGrace Murray,,,4,"""<H0>Hopper, Grace Murray, <PAGE><I>4</I></PAGE></H0>"""
"",Software as a Service (SaaS),basic concept,,4,"""<H1>basic concept, <PAGE><B>4</B></PAGE></H1>"""
"",Ariane 5 rocket explosion,,,4,"""<H0>Ariane 5 rocket explosion, <PAGE>4</PAGE></H0>"""
"",Google,household name,,4,"""<H1>household name, <PAGE>4</PAGE></H1>"""
"",Agile lifecycle,Rails use,,5,"""<H1>Rails use, <PAGE>5</PAGE></H1>"""
"",TurboTax Online,,,5,"""<H0>TurboTax Online, <PAGE>5, 432</PAGE></H0>"""
"",Software as a Service (SaaS),frameworks and languages,,5,"""<H1>frameworks and languages, <PAGE>5</PAGE></H1>"""
"",Programming frameworkslanguages for,,,5,"""<H0>Programming frameworks, languages for, <PAGE><I>5</I></PAGE></H0>"""
"",Ruby on Rails basics,advantages,,5,"""<H1>advantages, <PAGE>5</PAGE></H1>"""
"",Programming languages,SaaS frameworks,,5,"""<H1>SaaS frameworks, <PAGE><I>5</I></PAGE></H1>"""
"",Microsoft Office 365,,,5,"""<H0>Microsoft Office 365, <PAGE>5, 432</PAGE></H0>"""
"",Twitter,Rails applications,,6,"""<H1>Rails applications, <PAGE>6</PAGE></H1>"""
"",Blocks,Rails reuse,,6,"""<H1>Rails reuse, <PAGE>6</PAGE></H1>"""
"",Closures,Rails reuse,,6,"""<H1>Rails reuse, <PAGE>6</PAGE></H1>"""
"",Yield,Rails reuse,,6,"""<H1>Rails reuse, <PAGE>6</PAGE></H1>"""
"",Mix-ins,Rails reuse,,6,"""<H1>Rails reuse, <PAGE>6</PAGE></H1>"""
"",Reuse,Rails,,6,"""<H1>Rails, <PAGE>6</PAGE></H1>"""
"",Metaprogramming,Rails reuse,,6,"""<H1>Rails reuse, <PAGE>6</PAGE></H1>"""
"",Amazon,SOA siloed software,,7,"""<H1>SOA <I>vs.</I> siloed software, <PAGE>7</PAGE></H1>"""
"",Software as a Service (SaaS),SOA,,7,"""<H1>SOA, <PAGE><B>7</B></PAGE></H1>"""
"",YeggeSteve,,,7,"""<H0>Yegge, Steve, <PAGE>7</PAGE></H0>"""
"",New York Times,Facebook Platform,,7,"""<H1>Facebook Platform, <PAGE>7</PAGE></H1>"""
"",Siloed software,SOA comparison,,7,"""<H1>SOA comparison, <PAGE>7</PAGE></H1>"""
"",Service Oriented Architecture (SOA),basic concept,,7,"""<H1>basic concept, <PAGE><B>7</B></PAGE></H1>"""
"",Facebook PlatformSOA,,,7,"""<H0>Facebook Platform, SOA, <PAGE>7</PAGE></H0>"""
"",Service Oriented Architecture (SOA),Facebook Platform,,7,"""<H1>Facebook Platform, <PAGE>7</PAGE></H1>"""
"",Google+siloed software,,,7,"""<H0>Google+, siloed software, <PAGE>7</PAGE></H0>"""
"",Siloed software,bookstore service,,8,"""<H1>bookstore service, <PAGE>8, <I>8</I></PAGE></H1>"""
"",Siloed software,bookstore service,,8,"""<H1>bookstore service, <PAGE>8, <I>8</I></PAGE></H1>"""
"",Bookstore service,siloed software,,8,"""<H1>siloed software, <PAGE><I>8</I></PAGE></H1>"""
"",Bookstore service,silo SOA,,8,"""<H1>silo <I>vs.</I> SOA, <PAGE>8</PAGE></H1>"""
"",Application Programming Interface (API),silo bookstore service,,8,"""<H1>silo bookstore service, <PAGE><I>8</I></PAGE></H1>"""
"",Service Oriented Architecture (SOA),bookstore service,,8,"""<H1>bookstore service, <PAGE>8, <I>9</I></PAGE></H1>"""
"",Service Oriented Architecture (SOA),bookstore service,,9,"""<H1>bookstore service, <PAGE>8, <I>9</I></PAGE></H1>"""
"",Application Programming Interface (API),SOA bookstore service,,9,"""<H1>SOA bookstore service, <PAGE><I>9</I></PAGE></H1>"""
"",Bookstore service,SOA,,9,"""<H1>SOA, <PAGE><I>9</I></PAGE></H1>"""
"",Turing Award,McCarthyJohn,,10,"""<H1>McCarthy, John, <PAGE><I>10</I></PAGE></H1>"""
"",Software as a Service (SaaS),IT demands,,10,"""<H1>IT demands, <PAGE>10</PAGE></H1>"""
"",Software as a Service (SaaS),cloud computing,,10,"""<H1>cloud computing, <PAGE><B>10</B></PAGE></H1>"""
"",Communication,SaaS demands,,10,"""<H1>SaaS demands, <PAGE>10</PAGE></H1>"""
"",Cloud computing,,,10,"""<H0>Cloud computing, <PAGE><B>10</B></PAGE></H0>"""
"",Lisp,inventor,,10,"""<H1>inventor, <PAGE><I>10</I></PAGE></H1>"""
